symptoms,disease,specialist
fever cough body pain fatigue,Flu,General Practitioner
i have fever and body pain since 2 days,Flu,General Practitioner
fever nd cough feeling weak,Flu,General Practitioner
chills muscle ache cough sore throat,Flu,General Practitioner
running nose fever body pain tired,Flu,General Practitioner
headache fever and bad cough,Flu,General Practitioner
terrible body ache with high fever,Flu,General Practitioner
fever chills and extreme fatigue,Flu,General Practitioner
coughing a lot with fever and chills,Flu,General Practitioner
so tired body hurts and fever,Flu,General Practitioner
fever and sore throat since yesterday,Flu,General Practitioner
dry cough fever body pain,Flu,General Practitioner
sudden fever chills fatigue,Flu,General Practitioner
my body hurts i have fever and cough,Flu,General Practitioner
exhausted with fever and dry cough,Flu,General Practitioner
bad body ache fever chills,Flu,General Practitioner
coughing nd fever since morning,Flu,General Practitioner
weakness muscle pain fever,Flu,General Practitioner
sore throat cough fever fatigue,Flu,General Practitioner
fever with body ache and tiredness,Flu,General Practitioner
severe fatigue fever muscle pain,Flu,General Practitioner
chills fever bad cough,Flu,General Practitioner
body pain cough fever tired,Flu,General Practitioner
feeling hot chills body ache,Flu,General Practitioner
fever and cough since last night,Flu,General Practitioner
dry cough muscle pain fever fatigue,Flu,General Practitioner
fever chills dry cough tired,Flu,General Practitioner
so weak with fever and body pain,Flu,General Practitioner
cough fever sore throat chills,Flu,General Practitioner
fever muscle ache running nose,Flu,General Practitioner
flu symptoms fever cough body ache,Flu,General Practitioner
heavy cough fever fatigue,Flu,General Practitioner
chills fever weakness,Flu,General Practitioner
cough nd body pain with fever,Flu,General Practitioner
fever fatigue sore throat,Flu,General Practitioner
terrible cough fever chills,Flu,General Practitioner
body hurts fever tired,Flu,General Practitioner
high fever chills body pain,Flu,General Practitioner
coughing fever fatigued,Flu,General Practitioner
fever chills muscle pain,Flu,General Practitioner
dry cough fever tired,Flu,General Practitioner
body ache fever fatigue,Flu,General Practitioner
fever and dry cough since 2 days,Flu,General Practitioner
chills nd fever with body pain,Flu,General Practitioner
cough sore throat fever fatigue,Flu,General Practitioner
exhausted fever muscle ache,Flu,General Practitioner
coughing fever body pain,Flu,General Practitioner
fever chills tired all over,Flu,General Practitioner
body hurts fever cough,Flu,General Practitioner
weak fever chills cough,Flu,General Practitioner
cough fever sore throat tired,Flu,General Practitioner
fever body ache fatigue,Flu,General Practitioner
chills fever cough weakness,Flu,General Practitioner
fever dry cough body pain,Flu,General Practitioner
muscle pain fever fatigue,Flu,General Practitioner
cough and fever since yesterday,Flu,General Practitioner
fever chills body ache tired,Flu,General Practitioner
sore throat fever cough,Flu,General Practitioner
fever fatigue muscle pain,Flu,General Practitioner
cough fever chills weakness,Flu,General Practitioner
running nose sore throat sneezing,Common Cold,General Practitioner
i have a runny nose and sneezing since yesterday,Common Cold,General Practitioner
sneezing nd watery eyes runny nose,Common Cold,General Practitioner
mild cough runny nose sore throat,Common Cold,General Practitioner
congestion sore throat sneezing,Common Cold,General Practitioner
stuffy nose mild cough sore throat,Common Cold,General Practitioner
sneezing and running nose since 2 days,Common Cold,General Practitioner
sore throat running nose block nose,Common Cold,General Practitioner
mild fever runny nose sneezing,Common Cold,General Practitioner
stuffy nose runny nose sore throat,Common Cold,General Practitioner
sneezing a lot with runny nose,Common Cold,General Practitioner
cough and running nose no fever,Common Cold,General Practitioner
blocked nose sore throat mild cough,Common Cold,General Practitioner
running nose sneezing nd cough,Common Cold,General Practitioner
sore throat block nose sneezing,Common Cold,General Practitioner
mild cough sneezing running nose,Common Cold,General Practitioner
congestion runny nose sore throat,Common Cold,General Practitioner
running nose sneezing since morning,Common Cold,General Practitioner
stuffy nose sore throat mild fever,Common Cold,General Practitioner
sneezing runny nose tired,Common Cold,General Practitioner
watery eyes sneezing running nose,Common Cold,General Practitioner
sore throat running nose sneezing,Common Cold,General Practitioner
stuffy nose mild cough block nose,Common Cold,General Practitioner
runny nose sneezing sore throat,Common Cold,General Practitioner
mild cough and sneezing since yesterday,Common Cold,General Practitioner
blocked nose running nose sore throat,Common Cold,General Practitioner
sneezing nd runny nose feeling tired,Common Cold,General Practitioner
sore throat congestion runny nose,Common Cold,General Practitioner
running nose block nose mild cough,Common Cold,General Practitioner
sneezing running nose stuffy nose,Common Cold,General Practitioner
mild fever sore throat running nose,Common Cold,General Practitioner
stuffy nose sneezing runny nose,Common Cold,General Practitioner
sore throat and running nose since 2 days,Common Cold,General Practitioner
sneezing cough block nose,Common Cold,General Practitioner
runny nose sore throat congestion,Common Cold,General Practitioner
stuffy nose sneezing mild cough,Common Cold,General Practitioner
running nose nd sneezing a lot,Common Cold,General Practitioner
sore throat runny nose block nose,Common Cold,General Practitioner
mild cough sneezing running nose,Common Cold,General Practitioner
congestion sore throat sneezing,Common Cold,General Practitioner
stuffy nose runny nose mild fever,Common Cold,General Practitioner
sneezing running nose sore throat,Common Cold,General Practitioner
running nose block nose sneezing,Common Cold,General Practitioner
mild cough running nose congestion,Common Cold,General Practitioner
sore throat sneezing block nose,Common Cold,General Practitioner
running nose nd sneezing since morning,Common Cold,General Practitioner
stuffy nose sore throat running nose,Common Cold,General Practitioner
sneezing runny nose watery eyes,Common Cold,General Practitioner
mild cough running nose sore throat,Common Cold,General Practitioner
congestion block nose sneezing,Common Cold,General Practitioner
fever cough shortness of breath loss of taste,COVID-19,Pulmonologist
i lost my smell and have fever and cough,COVID-19,Pulmonologist
shortness of breath fever loss of taste nd smell,COVID-19,Pulmonologist
dry cough fever loss of smell fatigue,COVID-19,Pulmonologist
loss of taste fever shortness of breath,COVID-19,Pulmonologist
fever dry cough loss of smell since 2 days,COVID-19,Pulmonologist
shortness of breath fatigue fever cough,COVID-19,Pulmonologist
loss of taste and smell with dry cough,COVID-19,Pulmonologist
fever cough shortness of breath tired,COVID-19,Pulmonologist
loss of smell dry cough fever fatigue,COVID-19,Pulmonologist
cannot breathe well fever loss of taste,COVID-19,Pulmonologist
fever cough loss of taste nd smell,COVID-19,Pulmonologist
shortness of breath dry cough fever,COVID-19,Pulmonologist
loss of smell fever cough weakness,COVID-19,Pulmonologist
dry cough loss of taste shortness of breath,COVID-19,Pulmonologist
fever shortness of breath loss of smell,COVID-19,Pulmonologist
cough fever loss of taste fatigue,COVID-19,Pulmonologist
shortness of breath nd loss of smell,COVID-19,Pulmonologist
fever dry cough shortness of breath,COVID-19,Pulmonologist
loss of taste smell fever cough,COVID-19,Pulmonologist
shortness of breath fatigue loss of taste,COVID-19,Pulmonologist
fever cough loss of smell since yesterday,COVID-19,Pulmonologist
dry cough shortness of breath fatigue,COVID-19,Pulmonologist
loss of taste and smell with fever,COVID-19,Pulmonologist
shortness of breath fever dry cough,COVID-19,Pulmonologist
fever loss of smell cough tired,COVID-19,Pulmonologist
